author,author_id,comment
inibilaa🧚,ss.bllya_,@iniijaaa:@iniijaaa:ALIHKAN DEMO DI TEMPAT STRATEGIS SEPERTI BANDARA PELABUHAN DAN LAIN LAIN AGAR EKONOMI LUMPUH DAN SUARA KITA BISA DI DENGAR ‼️‼️‼️
Leo,smngkaaa2,maaf klo kita pake kacamata renang bisa ngindarin water canon gk sih?
Malino J Hutapea,malino.j.hutapea,Apa Tuntuan Demo Ini sebenarnya?
Scorpio💫,calmejholdy,Brimob
zip,witczilla,harus kasih tau prabowo supaya prabowo tau ada demo
Yo,ouzelq2,kalo ekonomi sulit jngn naikin pajaknya tapi kurangin tunjangan pejabat nya. giliran BUMN untung para pejabat dapet tukin giliran rugi rakyat suruh nanggung
Be4trusz_,daqire_,"assalamualaikum izin, kalo ada salah maaf, ini ko pada nyalahin presiden ya? dari pandangan gw nih ya, kenapa presiden ga menanggapi karena DPR bisa aja mengusulkan pemberhentian jabatan ke MK, pak Prabowo itu baik loh, janjinya yaitu bakal ngelakuin MBG terlaksanakan ga? ada presiden sebelumnya yang tidak menepati janji, sekarang jangan fokus ke pak Prabowo dulu, fokuskan ke DPRnya aja, perlu diingat, DPR KUAT DALAM MENGONTROL DAN MEMBATASI KEKUASAAN PRESIDEN, MAKA DARI ITU BAPAK/IBU JANGAN SELALU MENYALAHKAN PRESIDEN, KARENA PRESIDEN JUGA DIKONTROL OLEH DPR, JIKA PRESIDEN KELUAR DARI KONTROLAN DPR, DPR BAKAL MENGUSULKAN PEMBERHENTIAN KE MK, maaf kalo ada yang salah"
🌹,dasya22933,simple aja nanti pemilu tahun 2029 ga usah coblos anggota dan ketua dpr
zahvizah1990,zahvizah1990,"presiden kalo kaya gini tutup mata, mana akun gerindra?? diem aja"
Agung Rizki Maulana,agungmaulana817,"pak presiden dan wakil presiden, apakah kalian tdk kasihan dg rakyatmu seperti perang melawan sesama wrga indo .."
zdhlaaa,zadhila99,STOP DEMO mending jngn bayar pajak serentak cara pling the best sih mnrutku
Umakk,risnabar,sejak dulu polisi itu tidak di pihak rakyat....
lolymesa,lolymesa,ini polisi Israel
minull,n26nuyy,kau liat di vt atas ada mahasiswa yg tangannya p*tah krn ikut demo ini😬 kasian bnr ih mana msh muda lgi
sally萨莉 🇮🇩🇲🇴🇨🇳,xviixmpuppy,Tau kan presiden kalian buta mata&hati?
meggie_wijaya,meggie_wijaya,"bener bgt kak presiden pelanggar ham diam2 aja santai aja rakyat nya dilindes. Indonesia butuh REFORMASI! jangan cuma dpr yg di bubarkan, presiden & wapres, menteri nya juga. dan saat rakyat berjuang, mereka sibuk kasih penghargaan ke penjahat2 eh pejabat, puan dpr, menteri korup, teddy dll. emang bener itu sudah di jadwalkan, tapi kan bisa di mundurkan saat hari itu rakyat menyampaikan aspirasi ke pemerintahan"
Apple Keroak Purwokerto V.4,jtphonestorepurwokerto,nonton live tiktok sambil ketawa tawa lah pake ditanya
NS Karpet,hesty.okt21,bnr bngt😭
yella alvita,yellaalvita1,benar sekali😭
Ammyangkasa,ammyangkasa,kata Sri muliani klu gk byr pjk nti mau urus apa apa dipersulit.
ꦩꦲꦺꦤ꧀ꦢꦿ,gladiator_1950,"mau bayar pajak aja juga dipersulit
contoh 5 tahunan ada aja calo nya"
Dindin,dindakhrnssa_,"jgn kan bayar pajak, kalau ga bayar kompensasi sm RT aja dipersulit kalau mau buat sesuatu😂"
@Arif,dadaarif07,which country?
nofal,setyoworo.m,Ya memang seperti itu yg sudah berjalan
Endah Nurhayati,endahnurhayati09,pantesan miris banget pemerintahan...mau nya rakyat tuh bodoh tolol
Rief,rief0777,lah bukanya apa² udah sulit ya🤭 mau urus apa aja susah di oper kesana kesini
bunga,fitriz.fr15,pantesan aja dr td g liat
Nawirah Al Katiri,nawirah.al.katiri,segitunya sampai di blokir 🥺🥺🥺🥺
