author,author_id,comment
Chibi maruko chan,yani_royani05,indonesia kalo perang pun pasti ada yg jualan ditmpat perang. 😭😭😭
jekson situmorang,jekson_cruz,"udah tau demo, malah jualan di situ 🤣🤣
mau cari nama atau mau cari keadilan?? 🤣🤣"
BIRO WISATA DIV CENGKARENG,pesonatravelingjaya,part 2 nya yuk tanggal 5 September🤣🤣
Oliver 😶‍🌫️,naaraaa49,"klw ga bisa di bubarin, tolong cabut semua fasilitas anggota dpr, & setarakan gaji di seluruh indonesia,, itu namanya keadilan bagi seluruh rakyat indonesia"
dina,dina86468,PUAN KELUAR LUUU
⋆𐙚₊˚⊹⋆.˚♊༘⋆✮⋆,rinayuniarr_09,"wkwk lagian orang lg pada demo malah pada jualan disitu, dikira car freeday apa😭"
Ratna Q-ray20955,ratnaq.ray20955,"enak nya besok"" kalo ada pemilihan DPR gausah ada yg nyoblos, biar PD gak jadi semua"
Devi Anggraini,devianggraini4275,"Saya ada disana tadi siang, saat tembakan & gas air mata di lemparkan Polisi agar pendemo mundur depan stasiun Palmerah. Dan gas Air mata pun jatuh tepat di depan saya. Langsung dada sesak dan mata sangat perih, muka panas. Kasian dgn ibu2 yg membawa barang dagangannya. Apakah sprt ini kalian para aparat memperlakukan kami. Apakah kalian tdk berfikir jika diantara kerumunan itu ada keluarga kalian."
🥷,kasdiisaputra_,kasian yang ga salah
Yulia Bekam Muslimah,yulia_bekam,"lagi perang sempet sempet nya jualan , saking susah nya hidup ,cuma buat makan sesuap nasi 😭😭😭😭"
sitimahmudah614,sitimahmudah614,cari nafkah rejeki itu pedagang😂
𝓐𝓻𝓾𝓵 𝓜𝓪𝓾𝓵𝓪𝓷𝓪,arul_art,"Kocak Di pilih sendiri di demo sendiri🤣🤣
Bukannya waktu debat capres sudah jelas klo gaji pejabat negara akan di naikan."
ps,pesanan51,lindungi DPR mereka gk tau apa apa🙏
yohanes baru lulus,yohanessoftspoken1,"tanpa dpr rakyat bukan apa”🙏🏻🙏🏻,100jt pun kurang untuk 1 bulan buat dpr,rakyat rela gaji dpr 500 jt/bulan🙏🏻"
petrus🀄,scpy_bs,ngapain jualan di konflik 😂
🔞⚠️𝘙𝘦𝘙𝘦 ❌ 𝘙𝘦𝘯𝘢𝘭𝘥🔱,renald_sempax,cuma di indonesia tukang jualan ada di lokasi konflik
jekkkk,jekkkk1289,Gua Yang Habis Wd 20Jt Bilek😂😎🙈
Aul Rahmadi | Recorder Cover,aoelrahmadi,"kopi jago ngapain kabur 😭
katanya jago 😭"
🕷️,epepburik858,langsung tangkap Anis jadikan presiden aja 🙏
NYAI SEKAR WANGI,anita.sri2,"pak Prabowo kemana ya knp gak segera bertindak apa nunggu ada korban jiwa rakyat yg berjuang untuk keadilan, mana janji mu pak Prabowo katanya dulu mau belajar rakyat"
Jihan,jihan3405,"ya allah ya robb lindungi lah anak"" kami🤲🤲🤲🤲🤲😭😭😭"
🧕Nyonya Ratu Keripik💯💪😝,aryana185_2,"kasihan si pedagangnya ngos""an 💪"
MLBB JOKI,kesayangannetizen1,lagian ngapain coba demo DPR mereka gak salah lo🙏
DEVIL 😈,martinhutabarat98,"Mari Kita Bicarakan Baik Baik, jangan dikit dikit harus di Viralkan, DPR pasti Punya Solusi 🥰🙏"
Askebenaya🤸‍♀️,virlypink,"siapa kemarin itu yang bilang kalo mau datang ke dpr tgl 25 datang aja?
pintu dpr terbuka??
siapa itu perempuan yang bilang gitu??
mana dia???"
Good,bgzzxxhwvsh,"ga ngaruh, all in prabowo 2 priode 👍"
Akbar Radit,jokerhitam840,makanya cabut semua tunjangan di DPR tu
mamah_ica❤oberta,umi_ica79bl,pemerintah seperti ny adem2 aja masyarakat segitu byk berdemo semoga pendemo diberikan keselamatan semu nya🤲
sumiyati,sumiyati2047,kok ga disiarin di tv ya
Sahid_Sanjay,sahid_sanjay,prasaan gk smpai ky gitu di siarin di TV 😂😂😂😂
Noita💕,noitanainggolan_17,pasti dpr lagi duduk santai di sofa nonton demo sambil ketawa😩😳
indil marbat🤙,indilmarbat,rezeki hari ini cair 37jt bro💆💆
cancerboy76,cancerboy765,#savebatagor
.,.vtwin,Bukannya ikut demo malah jualan haduh gini amat hidup di konoha
user713549373310,user713549373310,aneh pulak orang mau demo malah jualan dkat orang demo 🙄
Hartini Hafis,hartini.hafis,lagian tau mau ada demo malah PD jualan diaitu😂😂
L❤️‍🔥,doraemon4868,kenpa si penjual harus di situ yaakk . kan kasiahn gerobaknya 😩😩😩😩
user95006253,user95006253,lagian udah tau lagi demo .. malah dagang😫
cintara ayoe,cintaraayoe,itu ayah q😭😭😭
yalily 🐨,febrianaaa.17,malah jualan 😭
‍ ‍ ‍ ‍ ‍‍ ‍ ‍ ່ ‍  ‍ ︎     ︎,ternosontek042,Jadi keinget pas demo di grahadi Surabaya ada yang jualan tahu bulat bjir
doflaminggo😎,ezadarmawan1998,Prabowo apakah diam² aja nihh🤣🤣
afi11131,afi11131,"keinget dulu pas tragedi penjinakan bom, di deketnya ada abang jualan bakso😭."
yura,yourabee,"2020 ikutan demo, laper, makan soto, pas ricuh, abang jualannya langsung kabur sama gerobaknya, gua lari sambil bawa semangkok soto 😭"
marpuahidris1,marpuahidris1,"demo nya jgan langsung ke pusat
ke RT .RW .kelurahan .kecamatan .walikota .gubernur baru DPR"
KK saya 57@,31352419417,coba kalo Anis menang.gk gak bakal ada demo
Zetta,frazetta19,Mulai skrng SERENTAK STOP BAYAR PAJAK!!!!
HARIZ Adv,hrs_181083,lagian tau area mau demo malah jualan disitu wkw🤣
Dokter ODGJ,young_kylohertz,"coba demonya kaya yang dilakukan imam samudra dan rekan""untuk menegakkan kebenaran meskipun beda persoalan namun tetap tujuan menegakkan kebenaran"
mami happy,irasultan1,katanya tgl 25 mau ber dialog di tunggu kedatangan nya laaah... malah pada umpet 🔥
Lidya Natanegara,lidya.natanegara,"liat para pedagang lari ke takutan kasian mereka pencari nafkah
harus kah sprti ini negara kita"
❤️‍🔥Aries❤️‍🔥,aprilaries777,yang demo rame.. yang dagang rame.. bubar rame.. akhirnya lari berame rame🗿
pupunnurdin,pupunnurdin,ya Allah selametkan mereka pulang dengan selamet keluarga menunggu di rumah
emifaypurba,emifaypurba,"si penjual kesempatan berjual, sudah tahu demo,malah dekat berjualan.
para penjual jangan mengganggu para pendemo.
kenapa para pendemo, kenapa tidak pakai pengaman"
ayu,mesy596,"pak presiden kl m mnag DPR tidak mau di bubarkan lebih baik gaji dan tunjangan nya di setarakan dengan ASN dan PNS,biar adil merata"
"Igoen2525 ""RSF.50""",igoen2525,yg jualan banyak banget ya
sandraaliya,r_u_ok1,"buat yg ikut demo, hati hati yaaa kalian☹️🙏🏻"
Seven_Kureine,seven_kureine,"waktu Demo saya nemu dompet di tempat orang Demo,lalu kubuka dompetnya Alhamdulillah isi nya 5 jt, dan di dalam dompet juga ada ktp pemilik nya, saya bingung dan ragu mau di anterin sayang isi nya 5 jt,klo ngga di balikin kasian yg punya Dompet, takut KTP nya mau di pake, tau sendiri ngurus ktp di negri konoha ribet kalo nggak ada orang dalem, pokoknya UUD, akhirnya saya anterin dompet dan isi nya ke alamat rumah, pas saya nyampe rumah pemilik nya jutek banget, pas saya bilang menemukan Dompetnya sopan banget dia, langsung saya di suruh masuk ke rumah nya, di buat kan kopi dan di sandingkan kue, pas sudah 30 menit ngobrol saya pun pamit,dan saya bilang,ibu coba uangnya di hitung kembali, lalu ibu itu menghitung nya, dan Alhamdulillah uangnya pas 5 juta, terus saya pun pamit dan tangan saya di tarik sama ibu itu, saya kira ada apa, nggak tau nya uangnya 5 jt mau di kasih saya semua,emang kalo sudah rezeki nggak kemana,katanya yang penting KTP balik sudah bersyukur banget,saya pun seneng banget, pas saya pergi sudah keluar pagar ada yang panggil panggil saya,.
pah..pah..bangun pah... sudah pagi takut berangkat kerja nya kesiangan anak sekolah sudah pada masuk takut macet, saya pun terbangun dan bengong, uwala...ternyata mimpi🤭"
Toib akagami,toibakagami,btw kalian demo gtu anggota dewannya di dlaam gk sih
Koni Julianto,konijulianto,Infokan untuk membawa bendera partai..... pasti luar biasa yg akan terjadi
𝓐𝓵𝓫𝓮𝓻𝓽,albert_gunawan69,Nyali pedagang kaki5 memang bukan kaleng²😂😂😂
itastylist shop,aquamarine545,udah tahu ada demo. kenapa nekat jualan disitu🥺🥺🥺
— 1 Langkah Ringan,icecream.303,emang gasnya dari air mata?
Indahdika92,indahdika92,Kalau gak bisa bubar cabut semua fasilitas dpr dan turunkan gajinya
SYBVE,sybvec,"gak kebayang kalau misal nya ada bencana atau perang rudal, kek nya ada anomali yang jualan😭"
𝐒𝐮𝐜𝐢,suciiwldry,Lagian org demo knp si jualan😭
yanuar rahman,gurupocokan,santai banget orang indonesia. dah tau ada demo. tp tetep jualan
Herta | HSR Enjoyer!,hertawithujoki,Kenapa ga pakai kacamata renang yak
ukhti29suminar,ukhti29suminar,"lindungilah yaa Allah para mahasiswa mahasiswi buruh, masyarakat yang sedang berdemo .menuntut keadilan di negri tercinta Indonesia ini 🤲 aamiin"
Irha salmera,irha.salmera,"pedagang keliling harusnya bisa membedakan antara even sama demo, Aya Aya wae"
BERLiN,berlin6694,kebanyakan yg dteng pedagang
wiwie,wie1077,inget tahun 98
Maria lestari03,maria.gerger,kenapa kalian tidak pake helm anak anakku😭😭
♋️ mojangsunda ♋️,mojangmaniezz,Pemerintah udh ga mikirin rakyat 😭 mau demo gimanapun ga akan ditanggapi
Cahaya Indah,cahaya_indah88,"KIRA-KIRA KALO GAJI DPR UMR TANPA TUNJANGAN LAIN2,ADA YANG MAU GA YAH JADI ANGGOTA DPR ??"
Devie Azza,devieazza,semoga yg demo dlm lindungan Allah..Aamiin
dessy,adehcemoeet,nama nya cari makan mas..kasihan anak bini nya kita saling mendoakan saja semoga sehat selalu..😭
🇹🇼WO AINI.🇹🇼,kaltumbima7,masyarat bukanya bermasyalah dan demo sama DPR melainkan sama polisi .katanya polisi pengayon masyarat tau tau musuh nya masyarat .
jhonariyo,jhonariyo,Kasihan yg dagang dorong2 gerobag.
bintangtang87,bintangtang87,maaf yg jualan jngn terlalu dekat...
Distributor Berl Nadibah,distributorberlnadibah,"Heran sama pemerintah kalau gak mau di demo mbok ya kerja yang benar. kebijakan nya yang pro rakyat, bukan mengkayakan pejabat"
yangying,twinss_sisil,kasian liat pedagang nya kalau smpai rusak dagangannya🥺
ra֟ani.,_ranikcl,tukang es cincau kasian banget 😭
Bu Asri,kasridakasrida2,kasian anak2 kita mau menuntut hak keadilan harus bertempur dg aparat
Carito Inyiak,caritoinyiak,katanya gerbang DPR terbuka untuk rakyat😁😁
Siseh Siseh,siseh.siseh60,mereka mau ikutan demo tp gak mau kehilangan kesempatan demo + cari cuan😁
Yusuf Saputra,yusufsaputra180,hanya diindonesia ada demo banyak makanan😅😂
user,miminmimin9017,kasian yg pada jualan ya Allah
rdmwithme,rdmwithme,"kapan majunya pemikiran masyarakat nya aj gini udah tau bakal demo malah jualan ,jauhan dikit kek😭ya tuhan maaf kan saya ngetik seperti ini 😭"
Sintha Tambunan,sinthatambunan428,"Tolong anak""yg demo gunakan helm untk menghindari gas air mata dan lemparan batu"
𝐒𝐞𝐍𝐧 𝐀𝐛𝐢𝐠𝐚𝐢𝐋,shenabigail,Yaa Allah lindungilah semua pendemo merekalah harapan para rakyat Indonesia
si dut,dutaigorcavalera,di situ gak ada yang jual mercon apa🗿
Arffebriyanto22,tehjusgulabatu007,intel itu sebenernya🗿
🌷kim🌷,slzki,hebat yg jual an berani ditengah” pendemo👍👍👏🏻👏🏻👏🏻🤣
Sultan_Kere,ondan.sentron,"ibaratnya dini, indonesia lagi perang, ehh malah ada yang jualan di lokasi terlarang 😭😭🤣🤣"
mommy2kids,imerahimah5,mana yg katanya si puan pintu gedung dpr terbuka tuk rkyat.... anj
Toko Mamah Tera,tera.al.fazri,demo karena pemerintah tidak peka rakyatnya menderita anggota dewan sejahtera
ciprut,ciprut0575,di gedung dprnya kosong Paleng dprnya PG ngumpet
syaoom,xyzrvr.a,ada yg jualan.. memangnya pendemo ada yg jajan ..?? 🙊
Camay,camay_may,udah tau tempat perang mlh dagang dsitu bng😩 cari lokasi yg agak jauhan npa bng
log.,llyaneia,"herannya napa ikut diantara kerumunan si, takut banget kegubrak gerobaknya😭"
Leoana13,leoana_13,"demo gak bawa senjata apa"" tapi dari pihak dpr bawa senjata. yaah kaya gitu aja udah takut dpr"
esls,esls15,"Kasian para pedaganganya , mau cari makan aja sampe pake acara uji nyali berada di area rawan konflik . Sehat sehat pejuang rupiah . Semoga setelah demo ini hak hak kalian lebih diperjuangkan. amin . Sedih bgt , ironis sekali."
malkiw,user20404814490905,kenapa GK di liput di tv...kalau demo begini
Apabae,wasnoto.ato.oto6,Lgi orang demo lha dia kesono dagang 🙄
MARIANA NDE TIGAN,marianabrtarigan40,salam pendemo Tuhann melindungi penddemo
nuansa_kasih,nuansa_kasih,Menantang demo tapi mengeluakaan senjata air mata
Yuri Aprilya,yuriaprilya98,bang kenapa demo sambil jualan😁
Cahaya Mawar,myhealingchapter,semoga selamat semuanya 😢
丂ひﾚﾉ丂,suliis26_,polisi2 baru
mas,mas_gondrong12,#savekopikeliling #savekangcilok 🙏
Ar Sakha,ar.s4kh4,"padahal wakil rakyat,,masa ngga ad satupun yg temui pendemo😏😏😏😏"
🇮🇩🥀🕊 yola27🇮🇩🥀🕊[💫FBI],riasamantha27,gk ada yg bwk kacamata ya? untuk antisipasi biar mata nya gk pedih😔😔🥺🥺
itsme_snowball,darby.as_king,dia pikir pas demo ada yang aus ma laper kali yak wkwkwkw
momy neneng,momv242,kasian rakyat kecil punya modal kecil bukan dapet duit nalah ancur yng ada.
siM123,sim1235996,seram sekali
Riana🇮🇩,wiasarelova,Astaghfirullah haladzim saudara ku selmatkn dri kalian masing masing trutama untuk para yg brjualn mnjauhlh🙏🙏😭😭😭
FARIDA🍒,farida94442,10000000000000
nurul,nurulmaya70,lindungi rakyat indonesia ya Allah
PESAN KHUSUS,nur99_ah,Sakno bikin dagangan susah susah
helen,helenbunadi,kpn lagi ini
Harmaini Maini,harmainimaini1,kspan ini
Nobody,irma_tobing0711,"sampai segitunya org mcari nafkah, tp para pejabat ga mikir, enk2 am mkn uang rakyat"
ulaaaf,ulaaaf,"Barusan nonton live tukang mie ayam, katanya mangkoknya pada ilang 😭"
Dalia Subhan🍒,dalia.subhan4,demo pertama di pemerintahan oke gass😁😁😁
