author,author_id,comment
slamatalexandro,slamatalexandro,jangan takut sama polisi mereka kita yang bayar
aNtO,wwwsumantoono,"Ya Allah, lindungilah DPR kami 😭😭🙏🙏, mereka ini pahlawan bangsa, pejuang keadilan yang siang malam menangis demi rakyatnya 😭💔🥀. Mereka rela mengorbankan tidur, makan, bahkan nyawanya hanya untuk kita semua 😭😭🔥. Jika bukan karena mereka, kita tidak akan bisa bernafas hari ini 😭🙏✨. Tolong, jaga mereka seperti Engkau menjaga langit dan bumi"
Fadlan,fadlan0322,Demonya belum kaya tahun 1998
SUNDAxBETAWI〽️🌀,sundaxbetawi69,REAL VIDEO
Kokoroth,kylxxxxxxxxxxx,"Kan pemerintah ga benar tp knpa polisi dengan tni nurut aja?kan ga pemerintah benar,buat apa di turutin kata pemerintah?kan bisa aja mereka menolak? Kerna ada polisi la dan tni ini pemerintah semakin berani 😅"
Aoyama!,koo_just_npc,"enggak bakal berani,kita itu rakyat negara. ada peraturannya,kayak di Papua itu OPM gak beres-beres karena rakyat Indonesia,entar dikecam HAM"
happymore,happymore188,itu anjingnya untuk melindungi tikus.
ida pangestu,ida.pangestu2,"saya mah gak takut
walaupun saya karyawan swasta tapi gak takut polisi"
arya di sini🔥,arya1996_3,bukan masalah kita yang bayar nanti dia keluarkan senjata nya mati kita
ikan sarden ajaaa,mitcheat,nahh itu masukk
slamatalexandro,slamatalexandro,"iya, tapi itu dia malahan polisi melindungi nya.."
Kenzzo,zxzz24434,"cuman gas air mata , yangg bikin 🥵🥵"
dogs,pebriansah05_,"ngasih arahan doang, turun lah mas🗿"
Reno Setiawan,renosetiawan01,ajak adu mekanik buka seragam
belinjo,gunamas5,sihiy dah cair hasil ngebuzzer lngsung semangat ya der😂
Gus surdoyo,gus.surdoyo,"ayooo semua masyarakat turun,,ayo gabung dengan ojol semua turun,, mereka yang seragam tidak boleh pukul/bunuh masyarakat tapi jaga masyarakat,,ayo turunkan 10juta masyarakat,,bagi 20 titik demo,, supaya polisi tidak berkumpul satu tempat,, supaya anggota mereka berkurang"
Desta,mas_karl,buzzer
Hanzz,hatureee,ahahahah lucu amat
🦖😎,anak_saga,binatang
harumam_,rumam_i,Temenya Uya ini
another.jaja,jaja.tiel,DEWAN PERAS RAKYAT
Hilag ansert,kita_tak_pernah_ada,ga buzerr ga makan.
AIR CELL,airoswati96,pecundang ga akan berani nampakin diri .
sd177,siarandigital177,"diemin aja komenan kaya , di bilang sengaja TPI lama"" bisa bikin gila diri dia sendiri"
rezaasfandi,rezaasfandi,ini orangnya DPR....
my honey,myhoney_013,"ada DAJAL kaya gini yaaaa,,,,😠😠😠"
TheG 27,the.g27,sarkas 😄😄
CEKGU MUD4,cekgumuda05,tooll111000111
simarmataa,grddyy,biar apa?
slviagrniii_,slviagrniii_,"LOL pejabat kaya dibelain, rakyat sengsara lu ga liat apa"
duda kalem,ardicardi,smga dpr cepet bubar kerja ny cuma ngabisin kekakyaan alam indonesia
Mishel1408,usermishel1408,"amsyong.,."
KarL2244,aird2244,dipelihara dengan naik gaji lagi terus joget sampi kiamat😁
سولي𓆝 𓆟 𓆞,salmonavocuddle,
Bintang🌠,bintangb33,#BubarkanDPR
Aden,tukangnoong06,otw kan
ibah,ibbahhhhhhhh,tanggal 28 bkal jadi sejarah
Sayyidin Fakhri,sayyidin.fakhri,#cabutgelarpahlawansoeharto usut tuntas pelanggaran ham berat masalalu
GIUSTRI,giustrie,Alfatihah buat alm Soeharto
Sifa Fah,sifa_fah4,selamat pak Harto pahlawan nasional
𝐘𝐎𝐑𝐔•𝐆𝐨𝐞𝐬 𝐅𝟏 𝐀𝐫𝐜,yoracuu_,
BK,bk68569,Buzzer 2 kok sepi ya
Awangawang,adhykurniawan571,😂😂😂
cinnamon_gelato🍨,syss92,Penjahat ham memberikan gelar pahlawan kepada penjahat ham lainnya
dhonyasril,dhonyasril,"mohon maaf, tapi kok auranya pada gelap begitu. apakah kata efek baju hitam yah?🤔"
FORUM SUARA RAKYAT,forumsuararakyat,"Kekayaan Indonesia hari ini dikuasai oleh 1% orang saja, sementara 90% rakyat sisanya terus mengalami pengecilan hak oleh sistem politik beraroma Orde Baru. Akar keterpurukan ini sederhana namun pahit: Reformasi tidak pernah benar-benar hidup. Yang runtuh hanya façade Orde Baru, sementara cara berpikir, pola kekuasaan, dan jaringan oligarkinya tetap menjadi fondasi negara. Titik matinya spirit Reformasi muncul ketika Gus Dur dilengserkan setelah berani menyentuh jantung kekuasaan lama, termasuk wacana pembubaran Golkar. Sejak itu jelas: siapa pun yang menantang hegemoni Orde Baru akan disingkirkan.
Perubahan yang terjadi hanya kosmetik. DPR–DPRD menjadi panggung transaksi, bukan representasi rakyat. Undang-undang diperdagangkan, kepentingan publik ditepikan. PDIP yang dulu membawa harapan wong cilik pun kerap terjebak dalam permainan lama demi bertahan di medan oligarki yang diciptakan Orde Baru selama puluhan tahun.
Di bawah Prabowo, denyut kekuasaan lama mengeras kembali: penempatan perwira dalam jabatan sipil, normalisasi narasi keamanan, hingga kebijakan bernapas militerisme. Dwifungsi ABRI tidak diumumkan, tetapi gejalanya kentara.
Peta politik Indonesia pun didominasi partai-partai berembrio Orde Baru: Golkar sebagai jantung oligarki; Gerindra berisi eks-jenderal masa Orba; PAN hasil rekayasa transisi; Demokrat berisi eks-ABRI; Perindo dan Hanura dari jaringan pengusaha-jenderal Orba; bahkan PKS tumbuh dari ruang sosial kampus yang sengaja dipelihara Orde Baru untuk kontrol umat.
Rakyat tetap menjadi pihak yang dikerdilkan, hak tanah, pekerjaan, kesehatan, pendidikan, hingga keadilan. Ironisnya, negara ini tertinggal jauh dari negara-negara tanpa kekayaan alam, hanya karena mindset Orde Baru tidak pernah dikubur. Selama DNA politiknya tetap itu, keterpurukan akan berulang tanpa henti."
FETTY,fety1232,"klu di Indramayu itu bukan kopi pangku tp kopi lendok,ya cewenya jalur Pantura itu cewenya lendat lendot alias suka ngendotan."
112211smoothcriminal,112211smoothcriminal,pasti gerwani..
Ranger_betta,shadowbettafish,mntan gerwani berbicara . dan tidak ada alasan jika smpai 11 tahun di tahan dan bukan tnpa sebab juga kan😋
ajik,ajik80202,kenapa yg dihadirkan mantan gerwani ?
ifadimas8,ifadimas8,g kaget gerwani
0pa zaza,amanyansun,ibu ini mantan Gerwani
Manusia Tertipu Dunia,manusia_tertipu_dunia,nenek ini di tahan katanya. Berarti saat itu dia gerwani atau diduga gerwani. Gak mungkin dia di tahan tanpa sebab
Abah anom,abahojol,gerwani ya🤪
sejatine 77,rohmani.wisnu,gerwani pada muncul
Teguh Boeseng,boeseng,Mohon maaf ibu dulu anggota gerwani atau apa ya bu..?. kok sampai di penjara.
user738368061,user738368061,mantan Gerwani ini
reza,reza75794,Soeharto is the best president
fitriyeni,fitri020374,bisa aja mgkin dulu Gerwani!!!
user8214695040283,user8214695040283,ibu gerwani
rika,rika267266,pasti gerwani
WTJ OFFICIAL,wtjofficialbledergetas,MABTAN GERWANI
Sriyatna,sriyatna0,kalau ibu Gerwani jelas bagian dr pki ya pantas dihukum
k.dani86,k.dani86,"mungkin ibu ini mantan gerwani,mungkin lho ya🤭"
LEOBOYZ_08,leoboyz08,mantan Gerwani🤣
Usi,usi2872,Kamu kan Gerwani
lautan,odine97,berarti ibu Gerwani 🤣🤣
Dian,pengasuhcooper,sedih ya saat kita menolak nyawa kita terenggut tapi saat kita menerima kita menerima siksaan 🥺🥺🥺
🦁🐰,_minrip,Didik Anak laki² kita di masa depan Gurls☺️Kita tidak bisa mendidik anak laki² orang lain tapi kita bisa mendidik anak laki² kita
Widya Chardiana,widdyuthinkk,THANK U FOR THIS KAK✊🏻✊🏻
Mommy Casey,jiawei13th,komen para lelaki kok ga ada disini?
Namii || WP project🔮,huisnako_,"Kalau kita punya anak laki² di masa depan, mari kita didik mereka untuk jadi sosok yg gentle. Ngajarin laki² kalau penolakan itu wajar, kalau rasa sakit karena ditolak itu wajar, dan gak harus melampiaskan amarah ke korban. Laki² harus diajarin regulasi emosi sejak dini, supaya kalau 'ego' mereka kesenggol, kontrol emosinya bisa lebih baik, gak dikit² maksa ke korban, atau bhkan sampai menghilangkan nyawa korban. Aku gak mau nyebut pelaku 'gelap mata' atau 'khilaf' , mereka ngaku begitu semata mata krna mereka kalah sama ego mereka sendiri, mereka gak bisa kontrol emosi mereka sendiri dan berakhir dendam dengan korban. Dan herannya, udah tau wanita lemah secara fisik, kalau ada berita serupa selalu aja yg dicari cari kesalahannya justru korban (wanita), bahkan kadang ada sesama wanita yg nyalahin korban juga."
I am Ray,iamray1996,penting nya ilmu beladiri... ini sudah bukan menolak atau ditolak
