author,author_id,comment
Jajan di tiktok,wildafirdausi_doktil,Majooooo
Mang Oyo,kang_kedul,merdeka
aries_idha,aries_idha,saya sangat setuju karena itu hak rakyat
Ahmat Dei Andrezta,ahmaddeiandrezta,Solo di mn
Chiin,phinakulka,Ayo bersatu masyarakat
J O S E P H ⚡,pegawainegrisipil,sebelum ratusan
byfatma.id,byfatma.id,gue ikut woyyy
Nda93,user1639107697882,sangat setuju....
imm🕷️🕷️,sakmadramadan,seru nihhh ikut nihhh
Shinichi Kudo,shinichi_37kudo,semangat pejuang rakyat
Sm,sm723569,mendukung
DNS,dnsgudang1,ayo demo
💖✨Bilaa Chic✨💖,bilaa.chic,SETUJUUUU !!!!!!!!
Ijuell,ijuellmadrid,info titik kumpul
Rasya,dontol8814,kedua bang
Dinargumilang,dinargumilang81,oke gas oke gas
siska arema dxb dubai,siska.dxb.dubai,setuju bnget
Tsamudi,tsamudi05,Gasss 💪
Rzaa17,bimpiww,pertama Min
kusugila,kusugila,buruh bersatu tak bisa di kalahka ✊
fajar_setw,fajar_setw,di Jogja kapan ya
KAKA KOMPLEX🇸🇦,ikbal_arsad,Semangat Kalian Pejuang Keadilan
yogadutapratama,yogadutapratama,Bogor info TITIK KUMPUL?
Semeton_Bali _United,semeton_bali45,wey bali juga ada kan😹
s ⃟ k,mizannn_0,gas
Aris we,aris.we88,saya ikuttt
cihuy,cihuy0570,setuju setuju sangat setuju!!!!!
ikhwandi,riskykentos95,SIAPPP
bjgn,bjng235,semoga rakyat bersatu
A'GM,marwan_story22,🤟 saya ikut
subarkhhh_,kang.barkah,"kalo aku ada di Indonesia, auto ikuttt"
Didik Cahyono,didikcahyono40,kapan bang
sapu jagat. Id,singletpria2,mantabbb
Bekicot178@,dodoybanyuke178,otwwww
oi,syafiratalita112,semangat 🔥🔥🔥🔥🔥
MencariHidayah,_mencarihidayah_,info kumpul dimana
@j_c,jccheng2,
Roblox,user821010730,otw jkrt
orang lurus,mexwox,gassssss
Rial Rial,rial.rial76,Revolusi🔥🔥
user00000,anonimousss____0000,setuju
Sny♍️,_.myson,Gasss
jefri,jefrianggara_04,gas suroboyo
Geget TheRoses InBla,gegettherosesinbl,mantep nih ikuttt
Mizuya?,justmizuya,gacor kang
♑unicorn🍿т𝐋,darius_gnea,yok dateng
Ce♉,cecekw21,SETUJU
_Dann,dandadwifimas,mantapppp
RAIHAN,raihanam.1,pertama bang
no Mｅｒｃｙ,disconnect99,siap ikut
naufalllllllll_13,naufal13_sptian,kelass king
Yudi Hendra821,yudihendra821,setuju
zz,zz646116,gassss
~ .D. ryan ~,sukit_asap2,Gaskeun
dodo7_sido,dodo7_sido,lajut
iwankusnadi891,iwankusnadi891,lanjut
Junawan Sitanggang farm,junawan_sitanggang,"amin, donasi kemana kak"
cipluk,ervina.aura,saya sangat setuju
Dwi,dwi.cahyaningsih21,mantab bosku😁
Mirza Irhamna,mirzairhamna,tetap semangat👍👍👍
ilal🥷,hilalramdaniii,oteweee
kuli tambang,kumis.tipis599,mantap
KORBAN JANDA ANAK SATU 😥😥,putraanggamaya222,aku mau ikut 😌
username,pase..1,seru niii
Asep Maung Bandung,asep.roni55,mantep
☞𝕺𝕻𝕬𝕹✞☜,opan_sweet,come on 🇮🇩😍
PSK,xyz_prex28,mantapp
Arjuna Krian,arjunakrian,mantap 🔥🔥🔥
erdo_ornan,erdo_ornan,semangat
cayo,mc.wildan90,Halo
A muhyad,amuhyad69,mantap
sabeloot,sabeloot,Gass
DewandaruShop,dewandaru_shop07,saya sangat sangat sekali setuju 1000%
Grosir Anti Gores Hydrogel New,antigores753,"Sudah saya bilang ""Demo Pati ini bisa Menular dan membesar, bisa jadi nanti pejabat yang lebih tinggi akan di demo suruh lengser."
Misss,misss75,tim ojing kumpul
𝐂𝐡𝐚𝐧𝐝𝐫𝐚𝐏𝐫𝐚𝐧𝐚𝐭𝐡𝐚,gemini.21.05,titik kumpul 🔥
dora21902,dora21902,sudah saatnya rakyat bergerak
₦ɇ₮łⱬɇ₦,yadigrentea,gasss lah
𝓕𝓵𝔂༊𖣂︎,_xzona,@ccttmplt @Ryuu_4_4 @IG:xcynaaa🧚‍♀️ 🔥
🐨        .        koala:),...koala86,😁😁😁
"Rangga -_-""""",alfi_hijra,✨
KangMus,kangmus2550,😅
Vesnic,sonicsmallframe,@Isagi
FU VALHALLA,fuvalhalla,ayo dong semua warga ikut
anak paud💕,bestaianakpaud,ikut dong
die,yousure._1,gas demo lagii
BANG AGAM,bang_ag4m,Aceh ikut juga 👍
Galih Prasetyo,galihprasetyo777,"lanjutkan, kami anak rantau domisili Tangerang siap turun kejalan."
Info Sosmed,info.sosmed4,"setuju..
orang serang mana nih..
kumpul di kp3b kuy"
EdiTzy🇮🇩,ediytzy01,Bersatulah Indonesia ku... lawan pemerintahan biadab
ARJUNA,arjuna_oi22,gass gass gasss
Muryokusho,ai5388,let's go🔥🔥🔥
Plat_L,theo_erlangga,"yg bikin nyesek dia bilang gaji guru adalah sebenarnya beban negara, lha dia dulu sekolah yg mengajar kang cilok apa ya, gedek banget gw, sumpah"
scorpion,nakula.sadewa2011,aku dulu msh 27 😂
Helen Ng,h3l3ndm,sama..jaman aku juga msh 27
"Rasheeda,s food",suswanti1314,"sama,jaman saya sekolah masih 27 propinsi🤭"
H@PPY M0M$ br.$!toru$💐🌷🌹💃?,deborasitorus7,tossss dulu ahh yg 27 propinsi 🙋🏻‍♀️🙋🏻‍♂️kita satu seperguruan bestie🤣🤣🤣🤣🤣🤣
Aurora ☁,aurorasky4321,Sama bang wkt SD masih 27.. Ud tua kt 😂
H@PPY M0M$ br.$!toru$💐🌷🌹💃?,deborasitorus7,sama bang dulu sekolah tau nya 27 propinsi trnyta skrg udah beranak pinak wak🤭😁apa udah setua sejompo itukah aq🤣🤣🤣🤣🤣🤣
A y a a  `々,35ayaaa,gass bang
D I K⚡,dicky.797,Sangaymt setuju sekali🔥🔥🔥
the rim's,muhammadrimszilda,2026 2025 ngab
"𝐇𝐢,𝐩𝐚𝐧",klwpnb,info samm
دافي°,crashnburn_,"Info"""
avior,aviorrr_yyy,info sam
Mebyu,mebyu777,posisi
B 45 iR,puput.inayah45,Aamiin ya Allah
Kupu Kupu Cinta_production,kupukupucintaprod,"Aamiin, smoga ada solusi"
Toshua_Toffee,toshua_da_leaf,Semoga!
inisial_M,adityaromadhon28,22 bang
𝙂𝙪𝙢𝙮-𝘽𝙤𝙮,galangpratama129,16c yooo
inisial_M,adityaromadhon28,ayo bang
inisial_M,adityaromadhon28,"ayo Lampung nya mana bang
gua metro"
ridhoazaaa,ridhogtggyes,ikut bang
R,rhmat_wk1,gas bang ini aku jg udh di Jawa barat nih😂🤣
Ridwan Maulana,wanensetzlich,gas bang gw dari Bogor nih otw Jakarta
Izz|Theme`,orang_8903,biasa nya sih kalo setau gua di monas
Mahluk bumi,davidkasidi4,aamiinn
govinnn,govinnn12,aamiin YRA
Renno,renno_nurike0801,gasken!!!
fauziahaj,fauziahrusdi0,Aamiin🤲🤲🤲
LIAYULIA,ffh_yna07,amin
bening,bening638,Aamiin 🤲
.,siti.halimah6837,amin 🥹
@eizoux,eizoux3,aamiin
Astii0²,asti02_4,aamiin
zonea,zonea.djoash,setuju
Gempar jaseng 505,gemparjaseng,setuju
the sky is my home,the.sky.is.my.home,setuju skli
Keigo-exe,keigoexe,Se7👍
astina collection,astina_collection_,👍👍👍
BM FIRMANSYAH,bimofirmamsyah,"huhh... kurasa sound horeg bakalan berguna disini, maksudku bisa kali sound horeg sekitar 7-9 truk dihadapkan ke gedung mentri terus diputar suara ""adittt tolongin ditt"" dengan volume yang kencang"
"🐰Melll,🐰",me3.imey,anjayyy aku ngakak kak...😅😅😅😅ternyata sound horeg berguna juga😂😂😂
user3986001531139,mamayani466,wah se7 bgt.. biar angota DPR kalau dengar suara sound horeg jantung nya pada copot 🤣🤣😂 lsng Inalilahi😇
Hikmah Nur,hikm4h43,"aamiin, dan di lancarkan😭"
🌷,dhinaf.a,amin🥺
andri putraaa,_6aaandr,aminnnn
Boru,butetbuatonnaingg,maju dan bersatulah masyarakat.
7DSỲoan4MVタ || B2G2★,ysufdrmwn_,gas kak
kaosoblong,kaosoblong_3,hayu
dedet,dedet965,betul sy sdh umur 41 gak pernah yg namanya demo x ini sy mau ikut
Khusnul Hamidah,khusnulhamidah926,ayo gaassss polll lur
me,mega_nl4,sama😭
Michella Lemuela,michella_lemuela,saya akan turun ditgl 25 Agustus demi keadilan suara rakyat Indonesia
Enakeun,ar_ar_ar6,asli merasa terpanggil
kokiku,father_160,gassssss
Kinnas Beauty ID,psco0,"setuju bgt untuk perjuangan gusdur ayo kita lanjutkan, sakit hati bgt kalo liat negara yg sakit ini harus di tinggali anak cucu kita"
Thalita nur Fadilah,titi.tititiktok,ayok bisa yok
nur laela,nur.laela132,👍👍👍 ayo
.,putra_lanz09,musik nya musik Naruto 😅
Mami💗Queenzha&Qeenan💗,nia_fk,setuju😂
🩷,hyeso_o,menyalaa😭
DarkXwolf17,uzi3735,setuju cuy
yati,sutroyati,iyah biar org² DPR pening🤣
Mudza Hariri,rir1ii_muza,setel ost naruto Shippuden pds4 auto membara 🔥🔥
Elkan maher Bhaskara,abdullohbinrojul,nitip klo bisa song naruto
Ahmadun Alaina,ahmadunalaina,setuju sih😭biar adrenalinyah dapet
Nakama,m.ibale,"taru di depan barikade polisi
biar pada bubar"
Arniaa punjabi,arnia_punjabi,"aku paling gak suka sound horreg..
tapi kao untuk demo ke DPR boleh lah aku dukung sound horreg kali ini"
Alif Ar-rachman,alif19_rachman,hidupp sound horeg!!!🗿😭
Nimzklik,nimzklik,🤣🤣🤣👍👍
05NEZUK0,o0o5nezuko0o,😭😭😭😭
7,doff_4,amiin
Sania Shakira,saniashakira,Aamiin 🤲
私は美しい🍫✨,maziyah_khan13march2025,Aamminn 🤲🏻
@n1,user3984345160650,gas
zalfaarrasyid2,zalfaarrasyid2,setuju
Gus surdoyo,gus.surdoyo,"ingat semuanya turunkan 10juta masyarakat semuanya,, bubarkan DPR akan menjadi hemat anggaran negara Indonesia,,satu orang DPR 100juta di kali kan 2000anggota DPR,, Indonesia sudah habiskan anggaran percuma saja,,,,,,"
BelLabell,nabillariskiy_,yukkk
nanang irawan,abotak86,dan bakal terulang juga yg lengser presiden
M. Yahya,myahya239,ayo👍
