author,author_id,comment
urang_ulu'p1,kangturu00,saya sangat setuju dengan demo ini
ブラヴィ・モンカウ,vhi_27m,"Jangan lupa bawa sound horeg, biar demonya makin asik"
Risma,srinaga57,semangat bersatu indonesia maju amin
ervinandy setiawan,ervinandy,info kumpul dimana.. pengen mentri keuangan turun..
Dena Jugatsu,dena.jugatsu,38 provinsi? dulu gw sekolah masih 33 jir 😅
tehjus,puji_handoyo2,tahun 2025 terulang lagi kaya tahun 1998😭
xsr,auahbau6,kumpul nya dimana sih bang kalo jakarta kira kira
Melly pratama,melly.pratama,"Semangat yg ikut demo😭 sehat selalu kalian, semoga selalu dilindungi😭🙏"
Warung Melodi 🦋,mel_o_di,Seumur2 gak pernah yang namanya ikut demo. Tapi kali ini kalo ada demo pengen turun kejalan juga😭😭
yhzkielll,yhzkiellllll,"YUK TERUSKAN PERJUANGAN GUSDUR, RENCANAKAN!!"
Dekels Rumagit,dekels.rumagit,"kalau atas nama buruh mah percuma karena jelas ada yg menungganginya, beda halnya kalau gerakan rakyat langsung tanpa embel2 perwakilan manapun👍👍👍"
Rénn Kázuki,reenkazuki2,"jadi gini kawan: dpr, mpr sama presiden itu lembaga yang berbeda., kalau presiden mau membuat kebijakan harus di acc dpr dan mpr., nah kalau dpr sama mpr membuat kebijakan, presiden sulit untuk nolak., JADI MAU PRESIDENNYA SIAPAPUN, KALO KETUA DPR SAMA MPR sama. ya bakal gini terus indonesia., jadi musuh utama rakyat itu DPR, MPR, DPD & MENTRI BUKAN PRESIDEN. (salam akal sehat)"
wanwan,anwar41536,kukira pati akhir ternyata awal😭
Cadil,cadil230,"hanya 1 do.a saya bubarkan dpr.
ya kalo ngga gajih dpr minimal turuin max 20 jt saja jngan sampe 100 jt ke atas. bayar pajak cmn untuk pejabat yg nyusahin masyarakat"
citra_br.simamora,citra_br.simamora,"tapi kan pajak ith untuk mereka yang penghasilannya lebih tinggi 🥺🥺 menurut aku itu gpp, ini takutnya mereka mendemo karna di panas""in sama bos dan pemilik perusahaan"
Celebest,celebestt,Gen Z akhirnya demo juga😂🔥
mamaZayd,elpd_,pengen ikut tapi punya anakk😭
Sultan,sultan_4512,info di Medan titik lok di mana 🙏
D O E LL Aʳ,abdullah_aljfr,"gw di depan
genjieaahhh"
on ol,user814440423,bang emang bener ya kita di adu domba
Rifki,rifkiputra0522,"kalo bener terjadi
pasti lebih dari takaran
misal nih. itu kan 75ribu
bisa lebih kemungkinan jadi 100ribu
atau lebih. kaya di Pati kemarin
asal awal 50ribu jadi 85ribu"
cappcuy13,cappcuy13,gua ikut woy gua ikut
D I K⚡,dicky.797,Demi indonesia yang sejahtera 🔥🔥🔥
the rim's,muhammadrimszilda,bener ramalan hard gumay
Fadli Bayagub,elfadh745,malang kumpul
Riyan Adi,riyanadi745,DEMOKRASI untuk REVOLUSI 😎😎😎
My MR,mymr96,semngat buat kalian yang demo... semoga suara kalian dapat di dngar dan hati2 jngan sampe terluka ya kawan 😭😭😭
#My love#,orang.sederhana849,100% Dukung Terus Para Pedemo Demi Kemanusiaan kalau bukan kita lalu siyapa lagi 👈
Jaka poleng87,jaka_poleng87,semoga demo ini berjalan lancar
🅰️dif (ꦄꦣꦶꦥ꦳꧀),adifscorpion,semarang info
𝙂𝙪𝙢𝙮-𝘽𝙤𝙮,galangpratama129,ayoo yg lampunggg
849u5 R4ND1,mas.b49u5,"semoga aksi ini pasti.
siap demo sudah muak dengan kebijakan"" yg merugikan rakyat"
Aden Nugraha,aden.nugraha28,Banten meluncur
m usin812,m.usin812,intinya bersatu jangan cuma buruh rakyat harus bersatu
Bayu Setyo,_sedangbernafas,"gass gua Semarang pasti 99,9% mendukung dan ikut"
Revan,revan_banana1,woi lah mau ikut tapi gue masih sekolah 😭
mercimbull,mercimbull,semangat Indonesia memerdekakan hak hak bangsa Indonesia. .. jgan hanya pejabat2nya aja yg merdeka. Rakyat pun harus merdeka. 💪💪💪
jagoanneon457,jagoanneon457,walaupun saya gak ikut demo ke lokasi TPI saya mendukung penuh
m.frenky,m.frenky1,"sangat setuju dgn demo ,saya ikut"
punya salwa,wadihjoy,okey gas kita demo
Kelvin Ganteng,kelvin.ganteng41,saya sangat setuju dengan demo ini
Nur Cahaya,nur.cahaya915,"kami akn dukung rakyatku utk memperjuangkan hak rakyat yg sdh di sengsarakan pejabat negara, rakyat jd menjerit dan menderita, semoga sukses ya rakyatku senasib dg kita🥰"
The sparta,the.sparta8,akhirnya datang juga hari dimana para rakyat ingin merevolusi negara tercinta👏
putusetianii,putu__setiani,denpasar kapan? mohon infooo tiang buruuh masih
ice caramel latte,ice_caramel666,kelas king
hasanah87,ziejie_87,gassssss
Endy Ibrahim,ibrahim_28042,Mantap..rakyat harus bersatu untuk bersuara 👏✊
Dina Dino Kitchen & Grocceries,dinahidayati02,Allohu Akbar Allohu Akbar Allohu Akbar Semangattt dan sehat sehat ya semua Aamiin 🥰🥰🥰
Cogan Kelaz,indra_rafandra,persatuan petani dan buruh maju terusssss!
Wilda Akazakh,wildaakazakh,"semangat Rakyat indonesia,
karena kebijakan-kebijakan pemerintahan indonesia, yg semena-mena terhadap rakyat🔥🔥"
Theo | Sales BYD Solo Raya,byd_soloraya,belum pernah ikut demo. tp yuk gaslah
🅱🅰🅽🅶 🅸🅺🅸 🅻🅿🅷,bang_iki_lph,SDH TDK sabar kepengen nonton demo nya 😂
Rynn,curhatanhati_25,info titik kumpul di makassar
فازا سلسبيل,firzzznaa,sangat setuju sekali. rakyat menuntut haknya. jangan kewajiban saja yg didulukan
ely elisa,elyelisa221,saya sangat setuju....
Dika pratama,dikapratama__21,keren sih masyarakat Indonesia 😍
putihhome,putihhome,menyala cuy🔥🔥🔥
sumanto,sumanto4014,siap hadir ikut demo
Septian A,agus.marwan07,di gua tgl 17 masuk
𝕸𝖚𝖍𝖞𝖆𝖗☠️,muhammadmuhyar_,saya setuju dengan demo ini🔥
mawar,user84884061852807,sangat setuju
Ai Nuraeni Wijaya,ai.nuraeni.k15,menyalaaa rakyat indonesia semangaatt…🔥💪🙏🏻
aryafikk,aryafikk,pati gas🤟
SENPAI,senpai.114,info boyolali dan semarang
elmi995,elmi.995,smga Allah sll melindungi rakyat kecil yg haus keadilan..lanjut saudara/i ku.smga sukses.
laynzz|,lanooooo8,yok kembalikan tragedi yang dulu😁🗿
xsr,auahbau6,info perkumpulan
Pedagang pasar cideng jkt,pedagang.pasar.cideng,oke gass
Adham,adman_as,sangat setuju demo ..
Mim.cantik,mimcantik,info kumpul di mana
🍄 Ranger Putih 🍄,sn0375,infonya kpan ikut bg
NAVRIVAN SHOP,navrivan,na ikutan
titi,tiiiiiiiio0,setuju boos ya alloh. lindunggi lah pendemo diseluruh. indonesiz. amiiiin
Billkc,billkc12_,ke 2
Rudiy Rudiy🇮🇩🇵🇸,rudiy091,sangat setuju demo ini
wikan_22,wikadriyo,surabaya sini kumpul
Azi,ita.13347,pertama
muku yaka,muku_yaka,semoga bnr demo
mawarni,mawarnicantikaa,setujuh.smg berjalan lancar dan aman👍💪💪
💥💫TauRusS Mey♉️,elly_ulistiyani,ramalan hardgumay🔥🔥
Bangdit,bangdit211,Dukung penuh
ceyii,vcecawv,jadiin
BomBom,tianusnul,semarang infone bolo siap gabung
sagreb,om.mjb.co.id,siap berangkat
Follback Okey,manxsumarr,Saya ikut
𝙈𝙤𝙢'𝙨,www.tiktok.com_samudra,Aku dukung 💪💪
Aetheria.zayn,aetheriazayn,iya anj emng serba mahal sumpah😭
aku kenapa jir,_callmesanz,ayo indonesiaku
r_1,r_1ico,aminnnnn kapannnn ni dah capek ngur
Arta Arafah,arta.arafah,setuju perjuangkan hak2 masyarakat👍
Ahmad_kusairi123,ahmad_kusairi123,Kediri hadir
Diruju22,diruju22,purwokerto kumpul dimana???
H@PPY M0M$ br.$!toru$💐🌷🌹💃?,deborasitorus7,SANGAT SETUJU 1000%!!!! LANJUTKAN DEMI KEADILAN⚖️⚖️🔨🔨💪🏻💪🏻
BAKSO🍖,bijin.x,melu demo
