author,author_id,comment
shafamanuela,shafaanii_0,pacarku polisi tpi dlm hati terdalam dia juga pengen ikutan demo dia juga geram sama ni pemerintah tpi apala dayaa mereka terhalang pekerjaann
r o s e m a r y,anthophile25,"Maaf , kita ga saling kenal gimana mau jadi temen🙏🏻"
chane✌🏻,chanlucupakebanget,apa salahnya sih tinggal buka jalan
aries ♈,lutfia_16,lalu bagaimana adik saya yang hilang sampai sekarang belom di proses dan mau cek cctv pun GK di perbolehkan
telo godog,galengan.sawahh,"gaji gak seberapa daripada yang duduk* doang di DPR, tuntutan & resiko kerja gak kira*, semangat pak polisi."
Aw✨,wanitamanise,"kalo teman kita seharusnya merangkul rakyat, bela rakyat!!! bukannya menjatuhkan."
gtw.siapacuy,manusia.gabutzz,"Coba aja kalo polisi gak ngedukung DPR, pasti dunia ini lngsung tentram dan damai,
tapi uang mengubah semuanya"
dew,tuudewiii8,iya tau mereka jg sebenarnya pgn ikut demo kaya kita tp keinget kejadian ojol yg dilindes ya tuhan sakit bgt rasanya
sophie🌸,sophathermes,"guys gini, polisi anarkis emg sangat salah cuman komunikasi antara polisi & otoriter itu sifatnya top to down, which is mereka pasif sifatnya dalam komunikasi itu, that’s make mereka nurut apa kata otoriter"
Arista Meiwa,aristaneiw,"ini ulah DPR!!!!!
bisa-bisanya senang2 dgn kondisi rakyatnya menderita!!!"
gitaa🌷,aanggiiita,kata siapa kak itu polisi yg ngelukain jg
Aoda,mbohloh0,kalau polisi yg mukulin masyarakat yg boleh ya? 🤣🤣🤣
Yoonki,pulihsndri,"mereka terlaku anarkis dn itu termasuk tindakan kekerasan
bnyk anak2 stm yg dipukulin diseret njirr udh Kya melakukan kesalahan yg korupsi aja ga prnh tuh diperlakukan kegitu"
zxxx✿,ttobokkieee,tapi ko polisinya mkul dan lndes pndemo ? barangkali yg dipukoll dan dilnd3s juga ditungguin sm anak istrinya
Mahalini,mahalini089,ani ani nya
tita,t.titaaa__,cowoknya polisi ya mbak?wkwk
Aoda,mbohloh0,pantes ngebela lakinya bagian dari insatansi😅
angga,riski321saputra,kalau polisi yg mukulin masyarakat yg boleh ya? 🤣🤣🤣
Aoda,mbohloh0,https://vm.tiktok.com/ZSHGTQkN6JckN-ji7dG/ Postingan ini dibagikan via TikTok Lite. Unduh TikTok Lite untuk menikmati postingan lainnya: https://www.t
orang imut,alodylkz1,ha?
Qyshope,sibil4.ahmad,enteng bnget ngomong.a broo ..
vanillaultra,0ktaavia,TERGANTUNG SEKALI LG TERGANTUNG
SakhiGhifariShop,tututgabriantri,"tapi kadang mereka suka minta duit 😭😭yang harusnya lapor apa2 gratis tapi jadi gak gratis, yg harusnya ditilang tinggal sidang sehari doang tapi suka minta 100 dulu kalo ditawar 50 gamau maunya tetep 100 😭😭"
\/\/471,250478eef,Suami Saya TNI dan Anak saya polisi..mreka juga tidak mau seprti ini tapi tugas dan tanggung jawabnya utk instansinya yg mengharuskan menjadi garda terdepan utk pengamanan..
🍰,ainiamb,halahhhh
Varmer❤️,varmer4321,Kalo polisi lalu lintas ? Kalo lagi tiba” berkendara dan di berhentiin cuma karena belom punya sim?
tychedo_,tychedo_,"Jaga keselamatan juga ya semuanya 🙏🏻. Jangan hanya menjaga dan melindungi negara aja 🙏🏻. Sehat berangkat , sehat juga pulangnya. kalian juga punya keluarga yg menunggu di rumah 🙏🏻🥺"
iniwulan,wulannotbulann,temanmu aja bukan teman kami
Advokat B,victory4314,Ingat mereka2 polisi ini juga punya keluarga yg sedang menunggu dengan was-was dirumah.
Milda Mokoginta,milda.mokoginta,polisi juga capee bkn mereka yg berulah tp mereka yg cape di lngan
rowr,cicawokaw_,kalo emang tmn contoh tuh TNI gmn merangkul dan melindungi rakyat
Nunu,nunula97,tapi bagaimana nasib rakyat yang di lempar gas air mata dan banyak korban 😩😩😩
aquariusgirls257,aquariusgirls257,Bukan musuh tapi kok lides pak ojol yang jadi korban itu konsepnya gimana ya 🥀🥀🥀
𝗔𝘀𝗵𝗲𝗹𝗹𝗮 𝗔.,asellaacy_,"sehat² polisi baik semoga di lindungi allah, yang jahat mah terserah"
Abang Højlund🥶,emyubangett,ternak dpr itu mah🤣
r,yaku1t_00,temen lu doang kalii
umikalsum,umi.kalsum577,Ingat dia di bawa tekanan perintah dri atasan
alamsyahhusain,alamsyahhusain,pak.polisi jgn keras keras menghadapi rakyatnya sendiri..masih muda muda lagi..mereka turun kejalan utk merperbaiki bangsa ini.....aamiin
mvoyy,evayantiee,"capeknya mrk itu terjamin yagessyaaa..kesejahteraan mrk sdh ditanggung negara.jdi capeknya mereka gak sama dg capeknya pendemo yagessyaaa... capekny mrk masih bisa senyum2. dahlahh
.🔥🔥🔥🔥"
Bim,bimaad44,"ini emg serentak yaa disuruh bikin VT yg templatenya lagu meloo, biar rakyat bersimpati"
sasa,ssaolav_,"gais stop berasumsi polisi tuh jahat yaa, namanya pekerjaan pasti harus profesional dan harus ngikutin atasan nya, ayah ku pun ga tega sbenernya kalo demo gtu, ayah aku setelah demo tuh pasti ada aja yg ditanya ke pendemo, dan mereka minta maaff bahwa mereka cmn ngikutin atasan nya, sebnernya mereka jg cape disuruh ini itu, dan mereka jd tameng doangg, mereka cmn di puter’ samaa negara dan pemerintah nya, jadi plis stop kalo temen ga mungkin ngelindes, plis guys itu posisi udah chaos bngt mau berenti jg akan di amuk masa yg didlm mobil nya, trs jga pasti udah kebawa emosi"
im_minah,mni_minah09,"manusia itu ada yang baik dan jahat
jadi jangan salahkan SEMUANYA!"
Haryanti Yanti,haryanti.yanti15,kecewa banget sama aparatnya
lenlen,frr_ca,"marah boleh tapi jangan pakai fisik sampai menyakiti mereka, ingat mereka juga di tunggu kepulangan nya oleh keluarga mereka"
𝘓𝘶𝘯𝘢,mylunarluna22,"Semua aparat sebetulnya mendukung rakyat, hanya karena tuntutan tugaslah mereka kadang terlihat seolah tidak berpihak.... Please mereka hanya menjalan prosedur yg mereka taati.. mereka juga tidak di untungkan dengan situasi ini.. mereka hanya menjalankan tugas...
Jadilah pendemo yg baik dan beradab.. kita contohkan kepada wakil Rakyat... masyarakat lebih beradab di bandingkan mereka.."
R.M.AHMAD HADIWINOTO S.sos,a.hadiwinoto4,menjalankan tugas untuk melindungi pejabat ya bukan rakyat😁sekali lagi bukan melindungi rakyat
Joxé,joxe52_,lah terus???
Who?,amberskiesssssssss,temenn? ngeledek dibelakang tameng ngatain cemen sambil jempol kebawah?
فارا,faffoouuu,keren lu?
Raiby_,raiby_,"nah begini contohnya, yg kalian hadapi itu teman2 sendiri.. ada doa ibu2 yg juga belanja sulit krn semua dipajakin tp mereka jg berdoa utk keselamatan anak2 mereka. musuh kalian itu yg hrsnya rapat tp tidur diruang AC, bukan yg panas2 an pegang tameng. yg gajinya besar tp kerjanya joget2, bukan yg taruhannya nyawa tp gajinya sedikit... jd plis, demo Damai yaa🙏🙏🙏"
Wiidwie,dfebri25,"kenapa polisi dan rakyat tidak bisa kerja sama?? kenapa;?
bukankan mereka dibayar dari pajak rakyat juga..
kalian di adu domba tpi tidak bisa di ajak kerja sama"
martin ngalcer,user301004190298,"waktu ruu tni di sahkan? cowoku juga gelisah sbnrnya, dia mau menyuarakan suara nya tp gbsa, dia bilang ga setuju juga sbnnrya tp ala boleh buat klo dia pun kerja sm negara dan dia tetep berpihak sm suara rakyat meskipun dia gbsa bersuara"
🚩,vizyrxnaa,kok yg d tangkep rakyat? kan malingnya di dalem gedung
baby bee,adeitha251,"Mereka semua hanya bekerja 😔 kalo mereka bisa memilih mereka juga gak mau di hina, di lempar batu 🥲 mereka punya keluarga, orang tua.. semangat para pejuang Indonesia 👍🙏"
jennie,jenniejennieswett,Polisi:Kami hanya terhalang Seragam😞 dalam hati nya gw mau ikut tapi gmn lagi udah tugas kadang suka sedih lihat polisi
