author,author_id,comment
akudissa5,akudissa,gimna kalo kita patungan buat sewa truk yg buat sedot WC🙏🏼😭
terserahgualah🐽,indomiegorengpakesayur,katanya pintu terbuka untuk rakyat tapi ditutup & disemprottttttt
how are u?,soomyew,ga terima bgt ojol di lindes☹️
herrara91,luvehera,"APARAT
A nya adalah?"
Cancer,wingbid,musuh nya water canon cuman satu yaitu mobil sedot wc
fitri. fra,fitri.ra1,polisi gajinya gede kali yah makanya ga takut pajak dan apa-apa naik
Gabuters,piwuchandesu,MOBIL SEDOT WC MANA SIH KOK GA MUNCUL 😭
nd☄️,ndvaaa_80,RIP DEMOKRASI🥀💔
CROT,efbjmkk1,belanda said : lah bukannya udh merdeka yaa?
inez love,rifahnikmah,ya Allah gimana efeknya water Cannon itu ya Allah 😭
Ediyy,ediyyy6,dibeli dari uang rakyat untuk mengusir rakyat
️,t0l0llol,mobil sedot wc ikut demo
Mizan,inisialnm,mobil brimob nglindes ojol gaes😭😭
alfian,_algian17,Pintu mana yang katanya terbuka untuk rakyat
ra ngerti,masroyz3,alasan aceh dan papau ingin merdeka
zauraa,zaurra_nr,lekas membaik negaraku
ipal_zentred,onic_rrq_ipal,udah se ricuh ini PRESIDEN DIEM AJA?
see25.8,see25.8,gw nangis sesegukan liat ojol di lindes mobil brimob😭😭😭
Ѧℛ!✮⃝ẞᴋL,_yogiyk_,"kalian Sadar tidak?
Kode Keras Dari Pak Prabowo.
1 pak prabowo tidak melarang kalo kita mengibarkan bendera one piece
2 sengaja bikin berita gaji DPR naik untuk memancing amarah kita buat demo tapi kita belum bergerak sampai sekarang
3 Dan menurutku itu sudah taktik yg pintar dari pak prabowo sebab dia paham tidak tidak berhak membubarkan DPR dan itu bukan ranah dia, yang berhak itu kita sebagai rakyat sebab sesuai dengan kepanjangannya DEWAN PERWAKILAN RAKYAT jadi yang berhak melengserkan itu RAKYAT.
Gas Kita Bubarkan, Prabowo Belajar dari Kisah Pak Gus Dur yg ingin hapus DPR namun dia yg di lengserkan.
(Kalo Mau ada perubahan kita harus peka)"
hahaha,pitzkece,abis WD 26jt hari ini ketua😍🤑🥰
04,adaapaa08,setuju kaa langsung semprot t*i nya di dpan gedung nya😭🙏
user12250896,user12250896tbu,jawa jawa
who?,siapakm0606,lah itu dibutuhin kocak
emb',gabrielgodwinjade,"tba"" jawa jir"
.,daning_prm05,kalau jawa kenapa
𝐃𝐀𝐍𝐙,danzofficial_yt,Lapo Kon iku
mpiey.𐙚🌷,mpiey___,up gays
PiCkAu_,pickau_28,"gas kk🔥, info trf kemana"
putriqueenza31,putriqueenza31_,"AKU DRTDI CARI KOMEN INI,, IYA KNP GA SEWA JASA SEDOT WC AJA YA"
𝕾𝖚𝖑𝖙𝖆𝖓 II 𝔽𝕁𝕂𝕋NewEra,sultan_fjktnewera26,"Info tf, gw mau ikutan"
apa ✨🌼🌸🌻🍄,dyx04_,"supir sedot wc nya yg ga mau kak, takut ketangkep😭🤣"
ibu🖤,larasmey2,"ikut matung, tar ku kumpulin tai anak anakku di pempes"
ninndy🍣🧀,chsechoclte,mauu ikut
Gusti ayuu🎀✨,gusti.ayu1,katanya udh pada otw ya? bener gasih
alpiww             🪳,powwwzss,UDAHH KAK😭😭
ns,nissnolimit,@hiooorin ^._.^ @syn୧⍤⃝🐱 @s @akara mantap banget gasih
akara,jyfrnkxii,ide bagus njirr
s,urmoonheree,infokan link donasi AWKAKAKW
secret,cecaajaaaa,monggo di open donasi untuk truk wc 🙏🏻
Alvescare,human._215,setuju
ekaamdyyy_,meiyyyyyyc_,ikuttt ihhh😭
ucinich,uciinichhh,@nadia.w setujuuuuu
Kingfinix NOTE 50 Pro|X6855,official_hby_trans,ayok aja gua mah🗿
𝗠𝗔𝗦 𝗟,on1y_s0n,yok.. info no req patungan
